Id: 526568 | Arrived: 11:31:46 | Took a Seat: 11:31:47 | Left: 11:31:51 | (Table 1, Seat: 1)
Id: 526573 | Arrived: 11:31:47 | Took a Seat: 11:31:48 | Left: 11:31:53 | (Table 1, Seat: 2)
Id: 526576 | Arrived: 11:31:47 | Took a Seat: 11:31:50 | Left: 11:31:54 | (Table 1, Seat: 3)
Id: 526572 | Arrived: 11:31:47 | Took a Seat: 11:31:51 | Left: 11:31:56 | (Table 1, Seat: 4)
Id: 526578 | Arrived: 11:31:47 | Took a Seat: 11:31:54 | Left: 11:31:58 | (Table 2, Seat: 2)
Id: 526575 | Arrived: 11:31:47 | Took a Seat: 11:31:53 | Left: 11:31:58 | (Table 2, Seat: 1)
Id: 526567 | Arrived: 11:31:47 | Took a Seat: 11:31:56 | Left: 11:31:59 | (Table 2, Seat: 4)
Id: 526574 | Arrived: 11:31:47 | Took a Seat: 11:31:59 | Left: 11:32:03 | (Table 1, Seat: 1)
Id: 526577 | Arrived: 11:31:47 | Took a Seat: 11:31:58 | Left: 11:32:03 | (Table 2, Seat: 3)
Id: 526562 | Arrived: 11:31:47 | Took a Seat: 11:32:01 | Left: 11:32:05 | (Table 1, Seat: 2)
Id: 526563 | Arrived: 11:31:47 | Took a Seat: 11:32:03 | Left: 11:32:08 | (Table 1, Seat: 3)
Id: 526569 | Arrived: 11:31:47 | Took a Seat: 11:32:06 | Left: 11:32:10 | (Table 2, Seat: 2)
Id: 526566 | Arrived: 11:31:47 | Took a Seat: 11:32:05 | Left: 11:32:10 | (Table 1, Seat: 4)
Id: 526571 | Arrived: 11:31:47 | Took a Seat: 11:32:08 | Left: 11:32:13 | (Table 2, Seat: 1)
Id: 526565 | Arrived: 11:31:47 | Took a Seat: 11:32:10 | Left: 11:32:14 | (Table 2, Seat: 3)
Id: 526564 | Arrived: 11:31:47 | Took a Seat: 11:32:11 | Left: 11:32:14 | (Table 2, Seat: 4)
Id: 526580 | Arrived: 11:31:47 | Took a Seat: 11:32:13 | Left: 11:32:18 | (Table 1, Seat: 1)
Id: 526570 | Arrived: 11:31:47 | Took a Seat: 11:32:14 | Left: 11:32:18 | (Table 1, Seat: 2)
Id: 526581 | Arrived: 11:31:47 | Took a Seat: 11:32:16 | Left: 11:32:19 | (Table 1, Seat: 3)
Id: 526579 | Arrived: 11:31:48 | Took a Seat: 11:32:17 | Left: 11:32:21 | (Table 1, Seat: 4)
